,District,Democratic Party Vote Share,Republican Party Vote Share
0,Alabama-1,0.33482465174695203,0.665175348253048
1,Alabama-2,0.3750315466407556,0.6249684533592443
2,Alabama-3,0.3629803419327367,0.6370196580672634
3,Alabama-4,0.16780195531869688,0.8321980446813031
4,Alabama-5,0.3140448418052298,0.6859551581947703
5,Alabama-6,0.2414788018393206,0.7585211981606794
6,Alabama-7,0.7591258617686036,0.24087413823139636
7,Alaska-1,0.3646073647875083,0.6353926352124917
8,Arizona-1,0.4709539330001126,0.5290460669998873
9,Arizona-2,0.5060445032340825,0.49395549676591755
10,Arizona-3,0.6807152262367573,0.3192847737632427
11,Arizona-4,0.24761478261680195,0.7523852173831981
12,Arizona-5,0.2739891859841022,0.7260108140158978
13,Arizona-6,0.32986694760129104,0.670133052398709
14,Arizona-7,0.7864936306537021,0.21350636934629785
15,Arizona-8,0.320110607020553,0.679889392979447
16,Arizona-9,0.5121083268632034,0.4878916731367966
17,Arkansas-1,0.4532247768986364,0.5467752231013636
18,Arkansas-2,0.47305195799858246,0.5269480420014175
19,Arkansas-3,0.23669610663182591,0.7633038933681741
20,Arkansas-4,0.4699610378383219,0.5300389621616781
21,California-1,0.3165613787460892,0.6834386212539107
22,California-10,0.4502873041739978,0.5497126958260021
23,California-11,0.6678882194219682,0.3321117805780318
24,California-12,0.8063157720753032,0.19368422792469675
25,California-13,0.8750455051398313,0.12495449486016874
26,California-14,0.7474566907525705,0.2525433092474295
27,California-15,0.6785899105308592,0.32141008946914085
28,California-16,0.5330057038914511,0.4669942961085489
29,California-17,0.7353459527389251,0.2646540472610749
30,California-18,0.6470279235131081,0.3529720764868919
31,California-19,0.7049791085143742,0.2950208914856258
32,California-2,0.6843735028942839,0.3156264971057161
33,California-20,0.6817747027610707,0.31822529723892934
34,California-21,0.5540889364321115,0.44591106356788845
35,California-22,0.3495649037985445,0.6504350962014556
36,California-23,0.3084253054598398,0.6915746945401602
37,California-24,0.48786805734500477,0.5121319426549953
38,California-25,0.41665039644705043,0.5833496035529495
39,California-26,0.4984399717034122,0.5015600282965877
40,California-27,0.625729415446171,0.374270584553829
41,California-28,0.6905410376925339,0.30945896230746606
42,California-29,0.771406223388492,0.22859377661150804
43,California-3,0.4720061928530432,0.5279938071469568
44,California-30,0.6523496702233699,0.34765032977663013
45,California-31,0.5228121352860091,0.4771878647139909
46,California-32,0.6279190025336949,0.3720809974663051
47,California-33,0.604548787287039,0.395451212712961
48,California-34,0.8412631523976247,0.15873684760237528
49,California-35,0.7063828823708737,0.29361711762912635
50,California-36,0.42514673906072625,0.5748532609392738
51,California-37,0.8324485494104324,0.16755145058956755
52,California-38,0.6471128113615953,0.35288718863840474
53,California-39,0.4342946634268881,0.565705336573112
54,California-4,0.2945421315983534,0.7054578684016466
55,California-40,0.8276741974119868,0.17232580258801322
56,California-41,0.5367025822831045,0.4632974177168955
57,California-42,0.32022437767968,0.67977562232032
58,California-43,0.7653714756796953,0.23462852432030468
59,California-44,0.8241841390297177,0.17581586097028234
60,California-45,0.3842192993335623,0.6157807006664378
61,California-46,0.6035387641388581,0.3964612358611419
62,California-47,0.5566363184362992,0.44336368156370076
