,MEMBER,PARTY,PVI,2016 D%,2016 R%,CLINTON %,TRUMP %
Minnesota-08,Rick Nolan,D,R+4,50.20%,49.60%,38.30%,53.80%
Mississippi-01,Trent Kelly,R,R+16,27.90%,68.70%,32.40%,65.40%
Mississippi-02,Bennie Thompson,D,D+14,67.10%,29.10%,63.60%,35.10%
Mississippi-03,Gregg Harper,R,R+13,30.40%,66.20%,36.80%,61.30%
Mississippi-04,Steven Palazzo,R,R+21,27.80%,65.00%,28.20%,69.40%
Missouri-01,Lacy Clay,D,D+29,75.50%,20.00%,76.80%,18.80%
Missouri-02,Ann Wagner,R,R+8,37.70%,58.50%,42.10%,52.50%
Missouri-03,Blaine Luetkemeyer,R,R+18,27.90%,67.80%,28.00%,67.00%
Missouri-04,Vicky Hartzler,R,R+17,27.80%,67.80%,29.30%,65.10%
Missouri-05,Emanuel Cleaver,D,D+7,58.80%,38.20%,54.60%,39.80%
Missouri-06,Sam Graves,R,R+16,28.40%,68.00%,31.10%,63.40%
Missouri-07,Billy Long,R,R+23,27.40%,67.50%,24.60%,70.10%
Missouri-08,Jason Smith,R,R+24,22.70%,74.40%,21.10%,75.30%
Montana-AL,Greg Gianforte,R,R+11,40.50%,56.20%,35.70%,56.20%
Nebraska-01,Jeff Fortenberry,R,R+11,30.50%,69.50%,35.50%,56.20%
Nebraska-02,Don Bacon,R,R+4,47.70%,48.90%,44.90%,47.20%
Nebraska-03,Adrian Smith,R,R+27,0.00%,100.00%,19.70%,73.90%
Nevada-01,Dina Titus,D,D+15,61.90%,28.80%,61.60%,32.60%
Nevada-02,Mark Amodei,R,R+7,36.90%,58.30%,39.70%,52.00%
Nevada-03,OPEN (Rosen),D,R+2,47.20%,46.00%,46.50%,47.50%
Nevada-04,Ruben Kihuen,D,D+3,48.50%,44.50%,49.50%,44.60%
New Hampshire-01,Carol Shea-Porter,D,R+2,45.80%,44.40%,45.90%,47.50%
New Hampshire-02,Annie Kuster,D,D+2,49.80%,45.40%,47.80%,45.40%
New Jersey-01,Donald Norcross,D,D+13,60.00%,36.80%,60.60%,36.10%
New Jersey-02,Frank LoBiondo,R,R+1,37.20%,59.20%,46.00%,50.60%
New Jersey-03,Tom MacArthur,R,R+2,38.90%,59.30%,45.20%,51.40%
New Jersey-04,Chris Smith,R,R+8,33.50%,63.70%,41.00%,55.80%
New Jersey-05,Josh Gottheimer,D,R+3,51.10%,46.70%,47.70%,48.80%
New Jersey-06,Frank Pallone,D,D+9,63.70%,34.90%,56.20%,40.60%
New Jersey-07,Leonard Lance,R,R+3,43.10%,54.10%,48.60%,47.50%
New Jersey-08,Albio Sires,D,D+27,77.00%,18.50%,75.70%,21.50%
New Jersey-09,Bill Pascrell,D,D+16,69.70%,28.00%,64.30%,33.10%
New Jersey-10,Donald Payne Jr.,D,D+36,85.70%,11.90%,85.20%,12.80%
New Jersey-11,Rodney Frelinghuysen,R,R+3,38.90%,58.00%,47.90%,48.80%
New Jersey-12,Bonnie Watson Coleman,D,D+16,62.90%,32.00%,65.00%,31.80%
New Mexico-01,OPEN (Lujan Grisham),D,D+7,65.10%,34.90%,51.60%,35.10%
New Mexico-02,OPEN (Pearce),R,R+6,37.20%,62.70%,39.90%,50.10%
New Mexico-03,Ben R. Lujan,D,D+8,62.40%,37.60%,51.80%,36.70%
New York-01,Lee Zeldin,R,R+5,41.00%,58.90%,41.80%,54.00%
New York-02,Peter King,R,R+3,37.50%,62.40%,43.70%,52.60%
New York-03,Tom Suozzi,D,D+1,52.80%,47.20%,51.20%,45.10%
New York-04,Kathleen Rice,D,D+4,59.50%,40.40%,53.00%,43.40%
New York-05,Gregory Meeks,D,D+37,85.40%,13.00%,85.40%,12.60%
New York-06,Grace Meng,D,D+16,72.10%,26.70%,64.70%,31.90%
New York-07,Nydia Velazquez,D,D+38,90.70%,9.20%,86.40%,10.30%
New York-08,Hakeem Jeffries,D,D+36,93.20%,0.00%,84.20%,13.40%
New York-09,Yvette Clarke,D,D+34,92.30%,0.00%,82.90%,14.30%
New York-10,Jerrold Nadler,D,D+26,78.00%,21.90%,77.50%,18.60%
New York-11,Daniel Donovan,R,R+3,36.70%,61.50%,43.50%,53.30%
New York-12,Carolyn Maloney,D,D+31,83.10%,16.80%,82.40%,13.30%
New York-13,Adriano Espaillat,D,D+43,88.60%,6.90%,91.80%,5.40%
New York-14,Joe Crowley,D,D+29,82.80%,17.10%,77.30%,19.70%
New York-15,Jose E. Serrano,D,D+44,95.20%,3.50%,93.50%,4.90%
New York-16,Eliot Engel,D,D+24,94.40%,0.00%,74.50%,22.30%
New York-17,Nita Lowey,D,D+7,99.10%,0.00%,58.00%,38.10%
New York-18,Sean Patrick Maloney,D,R+1,55.60%,44.40%,46.60%,48.70%
New York-19,John Faso,R,R+2,45.70%,54.20%,43.50%,50.20%
New York-20,Paul Tonko,D,D+7,67.90%,32.10%,53.30%,40.00%
New York-21,Elise Stefanik,R,R+4,30.10%,65.30%,39.40%,53.10%
New York-22,Claudia Tenney,R,R+6,41.00%,46.50%,38.90%,54.20%
New York-23,Tom Reed,R,R+6,42.40%,57.60%,39.20%,53.90%
New York-24,John Katko,R,D+3,39.40%,60.50%,48.60%,45.00%
New York-25,Louise M. Slaughter,D,D+8,56.10%,43.80%,54.90%,38.70%
New York-26,Brian Higgins,D,D+11,74.60%,25.40%,57.50%,37.90%
New York-27,Chris Collins,R,R+11,32.80%,67.20%,35.00%,59.30%
North Carolina-01,G.K. Butterfield,D,D+17,68.60%,29.00%,65.90%,31.10%
North Carolina-02,George Holding,R,R+6,43.30%,56.70%,44.60%,50.90%
North Carolina-03,Walter Jones,R,R+12,32.80%,67.20%,37.00%,59.60%
North Carolina-04,David Price,D,D+16,68.20%,31.80%,65.70%,29.00%
North Carolina-05,Virginia Foxx,R,R+10,41.60%,58.40%,39.20%,56.60%
North Carolina-06,Mark Walker,R,R+9,40.80%,59.20%,41.00%,55.60%
North Carolina-07,David Rouzer,R,R+9,39.10%,60.90%,39.60%,56.90%
North Carolina-08,Richard Hudson,R,R+8,41.20%,58.80%,40.70%,55.50%
North Carolina-09,Robert Pittenger,R,R+7,41.80%,58.20%,42.40%,53.50%
North Carolina-10,Patrick McHenry,R,R+13,36.90%,63.10%,35.70%,60.50%
North Carolina-11,Mark Meadows,R,R+14,35.90%,64.10%,33.70%,62.00%
North Carolina-12,Alma Adams,D,D+18,67.00%,33.00%,67.20%,28.20%
North Carolina-13,Ted Budd,R,R+6,43.90%,56.10%,43.50%,52.70%
North Dakota-AL,Kevin Cramer,R,R+16,23.70%,69.10%,27.20%,63.00%
Ohio-01,Steve Chabot,R,R+5,40.80%,59.20%,44.50%,51.10%
Ohio-02,Brad Wenstrup,R,R+9,32.80%,65.00%,39.50%,55.60%
Ohio-03,Joyce Beatty,D,D+19,68.60%,31.40%,67.20%,28.30%
Ohio-04,Jim Jordan,R,R+14,32.00%,68.00%,30.50%,63.90%
Ohio-05,Bob Latta,R,R+11,29.10%,70.90%,34.40%,59.30%
Ohio-06,Bill Johnson,R,R+16,29.30%,70.70%,26.50%,68.90%
Ohio-07,Bob Gibbs,R,R+12,29.00%,64.00%,32.70%,62.40%
Ohio-08,Warren Davidson,R,R+17,27.00%,68.80%,30.40%,64.70%
Ohio-09,Marcy Kaptur,D,D+14,68.70%,31.30%,58.70%,36.50%
Ohio-10,Mike Turner,R,R+4,32.70%,64.10%,43.80%,51.00%
Ohio-11,Marcia Fudge,D,D+32,80.30%,19.70%,80.50%,17.00%
Ohio-12,Pat Tiberi,R,R+7,29.80%,66.60%,41.60%,53.10%
Ohio-13,Tim Ryan,D,D+7,67.70%,32.30%,51.10%,44.60%
Ohio-14,David Joyce,R,R+5,37.40%,62.60%,42.00%,53.40%
Ohio-15,Steve Stivers,R,R+7,33.80%,66.20%,39.60%,55.20%
Ohio-16,(Open) Renacci,R,R+8,34.70%,65.30%,39.40%,56.10%
Oklahoma-01,Jim Bridenstine,R,R+17,0.00%,100.00%,32.70%,61.40%
Oklahoma-02,Markwayne Mullin,R,R+24,23.20%,70.60%,22.80%,72.90%
Oklahoma-03,Frank Lucas,R,R+27,21.70%,78.30%,20.90%,73.60%
Oklahoma-04,Tom Cole,R,R+20,26.10%,69.60%,28.40%,65.60%
Oklahoma-05,Steve Russell,R,R+10,36.80%,57.10%,39.70%,53.30%
Oregon-01,Suzanne Bonamici,D,D+9,59.60%,37.00%,55.00%,33.10%
Oregon-02,Greg Walden,R,R+11,28.00%,71.70%,35.30%,54.70%
Oregon-03,Earl Blumenauer,D,D+24,71.80%,0.00%,68.40%,21.70%
Oregon-04,Peter DeFazio,D,EVEN,55.50%,39.70%,44.50%,44.40%
Oregon-05,Kurt Schrader,D,EVEN,53.50%,43.00%,46.40%,42.30%
Pennsylvania-01,Brian Fitzpatrick,R,D+31,45.50%,49.10%,47.10%,18.20%
Pennsylvania-02,Brendan Boyle,D,D+40,82.20%,72.90%,24.90%,7.60%
Pennsylvania-03,Dwight Evans,D,R+11,90.20%,90.90%,7.00%,61.10%
Pennsylvania-04,Robert Brady,D,R+1,100.00%,57.90%,38.50%,58.60%
Pennsylvania-05,Patrick Meehan,R,D+25,40.50%,62.60%,34.40%,62.30%
Pennsylvania-06,Ryan Costello,R,D+41,42.70%,52.60%,43.30%,47.60%
Pennsylvania-07,Charles Dent,R,D+7,38.00%,48.70%,47.60%,47.00%
Pennsylvania-08,Matthew Cartwright,D,D+13,53.80%,43.70%,53.20%,48.20%
