,MEMBER,PARTY,PVI,2016 D%,2016 R%,CLINTON %,TRUMP %
Virginia-07,Dave Brat,R,R+6,42.20%,57.50%,43.70%,50.20%
Virginia-08,Don Beyer,D,D+21,68.40%,27.30%,72.40%,20.60%
Virginia-09,Morgan Griffith,R,R+19,28.30%,68.60%,27.20%,68.40%
Virginia-10,Barbara Comstock,R,D+1,46.90%,52.70%,51.60%,41.70%
Virginia-11,Gerry Connolly,D,D+15,87.90%,0.00%,66.10%,27.20%
Washington-01,Suzan DelBene,D,D+6,55.40%,44.60%,54.20%,37.80%
Washington-02,Rick Larsen,D,D+10,64.00%,36.00%,56.90%,34.80%
Washington-03,Jaime Herrera Beutler,R,R+4,38.20%,61.80%,42.50%,49.90%
Washington-04,Dan Newhouse,R,R+13,0.00%,100.00%,35.10%,57.90%
Washington-05,Cathy McMorris Rodgers,R,R+8,40.40%,59.60%,39.10%,52.20%
Washington-06,Derek Kilmer,D,D+6,61.50%,38.50%,51.80%,39.50%
Washington-07,Pramila Jayapal,D,D+33,100.00%,0.00%,82.10%,12.20%
Washington-08,OPEN (Reichert),R,EVEN,39.80%,60.20%,47.70%,44.70%
Washington-09,Adam Smith,D,D+21,72.90%,27.10%,70.40%,23.40%
Washington-10,Denny Heck,D,D+5,58.70%,41.30%,51.20%,39.90%
West Virginia-01,David McKinley,R,R+19,31.00%,69.00%,26.40%,68.00%
West Virginia-02,Alex Mooney,R,R+17,41.80%,58.20%,29.40%,65.80%
West Virginia-03,OPEN (Jenkins),R,R+23,24.00%,67.90%,23.30%,72.50%
Wisconsin-01,Paul Ryan,R,R+5,30.20%,64.90%,41.80%,52.10%
Wisconsin-02,Mark Pocan,D,D+18,68.70%,31.20%,64.90%,28.60%
Wisconsin-03,Ron Kind,D,EVEN,98.90%,0.00%,44.30%,48.80%
Wisconsin-04,Gwen Moore,D,D+25,76.70%,0.00%,73.00%,21.50%
Wisconsin-05,Jim Sensenbrenner,R,R+13,29.30%,66.70%,36.70%,56.50%
Wisconsin-06,Glenn Grothman,R,R+8,37.30%,57.20%,38.20%,54.80%
Wisconsin-07,Sean Duffy,R,R+8,38.30%,61.70%,36.90%,57.20%
Wisconsin-08,Mike Gallagher,R,R+7,37.30%,62.60%,38.30%,55.70%
Wyoming-AL,Liz Cheney,R,R+25,30.00%,62.00%,21.90%,68.20%
