Age,Obedience,Self-Reliance,Don’t Know
18 - 24,0.4215306785087435,0.5014543254002295,0.05246302034576319
25 - 34,0.46738824051036154,0.4785112422852646,0.04752031666995051
35 - 44,0.5219980258413535,0.44595493675599696,0.04147912427507362
45 - 54,0.5231526643070731,0.44677215804000137,0.04062534392666468
> 54,0.5479619217777953,0.4368197692779672,0.0356167106936096
