,District,Democratic Party Vote Share,Republican Party Vote Share
0,Alabama-1,0.344455651941429,0.655544348058571
1,Alabama-2,0.3859086644088709,0.614091335591129
2,Alabama-3,0.3726928048562849,0.627307195143715
3,Alabama-4,0.17375347534852112,0.8262465246514789
4,Alabama-5,0.32473264305010563,0.6752673569498944
5,Alabama-6,0.24872463622566926,0.7512753637743308
6,Alabama-7,0.7727945078226464,0.22720549217735364
7,Alaska-1,0.37251113009983183,0.6274888699001682
8,Arizona-1,0.4842805585376363,0.5157194414623637
9,Arizona-2,0.5183113205838823,0.4816886794161177
10,Arizona-3,0.6940930668027091,0.3059069331972909
11,Arizona-4,0.2550204515449376,0.7449795484550624
12,Arizona-5,0.2838681189674408,0.7161318810325592
13,Arizona-6,0.34163873477440315,0.6583612652255968
14,Arizona-7,0.8016530058623006,0.1983469941376994
15,Arizona-8,0.32889257230820823,0.6711074276917918
16,Arizona-9,0.527367068968314,0.472632931031686
17,Arkansas-1,0.46571443282979585,0.5342855671702041
18,Arkansas-2,0.48733879799476904,0.512661202005231
19,Arkansas-3,0.2459840671743247,0.7540159328256753
20,Arkansas-4,0.48264776216594246,0.5173522378340576
21,California-1,0.3244429622636797,0.6755570377363203
22,California-10,0.4633141009293297,0.5366858990706703
23,California-11,0.6779447444329691,0.32205525556703085
24,California-12,0.814847105793523,0.18515289420647696
25,California-13,0.886991561811635,0.11300843818836503
26,California-14,0.7611365940633296,0.23886340593667044
27,California-15,0.687404321951141,0.312595678048859
28,California-16,0.5402286411776905,0.45977135882230946
29,California-17,0.7450924383599449,0.2549075616400551
30,California-18,0.6583764614722935,0.34162353852770655
31,California-19,0.7187343048454601,0.2812656951545399
32,California-2,0.7017783312948771,0.2982216687051229
33,California-20,0.6970484465849723,0.30295155341502766
34,California-21,0.5691850927065838,0.4308149072934162
35,California-22,0.36339083567471997,0.63660916432528
36,California-23,0.3204309615164264,0.6795690384835735
37,California-24,0.501174036472839,0.498825963527161
38,California-25,0.4307393315480371,0.5692606684519629
