,District,Democratic Party Vote Share,Republican Party Vote Share
0,Alabama-1,0.3455964304413496,0.6544035695586504
1,Alabama-2,0.39142533834018334,0.6085746616598167
2,Alabama-3,0.36473228811567693,0.6352677118843231
3,Alabama-4,0.1780631473532618,0.8219368526467382
4,Alabama-5,0.3273713195252007,0.6726286804747993
5,Alabama-6,0.25656187322379326,0.7434381267762067
6,Alabama-7,0.765039681764433,0.23496031823556696
7,Alaska-1,0.3689997727497847,0.6310002272502153
8,Arizona-1,0.4623966142452322,0.5376033857547677
9,Arizona-2,0.5050743546975665,0.49492564530243355
10,Arizona-3,0.6702744463938882,0.3297255536061118
11,Arizona-4,0.24210696010671506,0.7578930398932849
12,Arizona-5,0.2841204507952615,0.7158795492047385
13,Arizona-6,0.31703818175587406,0.6829618182441259
14,Arizona-7,0.7857372400822873,0.2142627599177127
15,Arizona-8,0.32536122223985786,0.6746387777601421
16,Arizona-9,0.5103659079850028,0.4896340920149972
17,Arkansas-1,0.47568392121261815,0.5243160787873818
18,Arkansas-2,0.49793499360080046,0.5020650063991996
19,Arkansas-3,0.25429115994073276,0.7457088400592673
20,Arkansas-4,0.4964562523354285,0.5035437476645714
21,California-1,0.3259607988818859,0.6740392011181141
22,California-10,0.4511315378533907,0.5488684621466093
23,California-11,0.6662566091193818,0.3337433908806182
24,California-12,0.8196839320253732,0.18031606797462685
25,California-13,0.8873173728453622,0.11268262715463784
26,California-14,0.7365295721177887,0.2634704278822113
27,California-15,0.6885870006926271,0.3114129993073729
28,California-16,0.53973461925118,0.46026538074881995
29,California-17,0.7174655618455957,0.28253443815440427
30,California-18,0.6567521013309582,0.3432478986690418
31,California-19,0.7101262191180975,0.2898737808819025
32,California-2,0.6858414338030143,0.3141585661969857
33,California-20,0.6784365208016863,0.32156347919831374
34,California-21,0.5591435616344009,0.44085643836559907
35,California-22,0.3553772081091432,0.6446227918908568
36,California-23,0.32240525852323326,0.6775947414767667
37,California-24,0.48388806510898735,0.5161119348910126
38,California-25,0.42300481209338403,0.576995187906616
39,California-26,0.4951488102059937,0.5048511897940062
40,California-27,0.6305600310249189,0.36943996897508113
41,California-28,0.6912981361718564,0.3087018638281436
42,California-29,0.777319037638561,0.22268096236143897
43,California-3,0.48338822713601787,0.5166117728639821
44,California-30,0.6619375737674659,0.33806242623253413
45,California-31,0.5339578925845044,0.46604210741549557
46,California-32,0.6415854039624912,0.3584145960375088
47,California-33,0.6037461738562602,0.39625382614373983
48,California-34,0.8458883252452295,0.1541116747547705
49,California-35,0.6883917643022968,0.31160823569770324
50,California-36,0.42872613561133394,0.5712738643886661
51,California-37,0.8482777372742686,0.15172226272573142
52,California-38,0.6631318594839068,0.33686814051609315
53,California-39,0.4472421961145644,0.5527578038854356
54,California-4,0.2961402847123308,0.7038597152876692
55,California-40,0.8123303167446689,0.18766968325533107
56,California-41,0.548388107962489,0.45161189203751095
57,California-42,0.3247420334304886,0.6752579665695114
58,California-43,0.7768358226072631,0.22316417739273686
59,California-44,0.8343710038087745,0.1656289961912255
60,California-45,0.3812692747980056,0.6187307252019945
61,California-46,0.6011885826797143,0.3988114173202857
62,California-47,0.5809268739644355,0.41907312603556446
63,California-48,0.3580894575598538,0.6419105424401462
64,California-49,0.38049650400752244,0.6195034959924776
65,California-5,0.6811079340197997,0.31889206598020026
