,District,Democratic Party Vote Share,Republican Party Vote Share,Democrat Controlled
0,Alabama-1,0.3745599298110242,0.6254400701889757,0
1,Alabama-2,0.4145072313075252,0.5854927686924748,0
2,Alabama-3,0.39243609944563274,0.6075639005543673,0
3,Alabama-4,0.19235284271939251,0.8076471572806074,0
4,Alabama-5,0.3621287174140538,0.6378712825859463,0
5,Alabama-6,0.29183577715712233,0.7081642228428777,0
6,Alabama-7,0.7718756852157392,0.22812431478426076,1
7,Alaska-1,0.5094463914153722,0.4905536085846278,1
8,Arizona-1,0.6380076476353598,0.3619923523646402,1
9,Arizona-2,0.5538728527227479,0.4461271472772521,1
10,Arizona-3,0.7108120619809024,0.2891879380190976,1
11,Arizona-4,0.2698867595604614,0.7301132404395386,0
12,Arizona-5,0.34092538218147583,0.6590746178185242,0
13,Arizona-6,0.37679736570822053,0.6232026342917795,0
14,Arizona-7,0.8118530464767558,0.18814695352324418,1
15,Arizona-8,0.36984922364060796,0.6301507763593921,0
16,Arizona-9,0.5836477720885253,0.41635222791147475,1
17,Arkansas-1,0.49444521713119205,0.505554782868808,0
18,Arkansas-2,0.5257093429333037,0.47429065706669626,1
19,Arkansas-3,0.2897653074511441,0.7102346925488559,0
20,Arkansas-4,0.5175311492135385,0.4824688507864615,1
21,California-1,0.3736653442739388,0.6263346557260612,0
22,California-10,0.5467332004074491,0.4532667995925509,1
23,California-11,0.7563362744457179,0.24366372555428206,1
24,California-12,0.8667834389399749,0.1332165610600251,1
25,California-13,0.900957772513679,0.09904222748632097,1
26,California-14,0.8312752091191121,0.16872479088088788,1
27,California-15,0.8160046884951004,0.18399531150489956,1
28,California-16,0.6296352754982332,0.37036472450176683,1
29,California-17,0.8362866882000131,0.16371331179998694,1
30,California-18,0.7779955331763087,0.22200446682369135,1
31,California-19,0.8245532951030611,0.17544670489693892,1
32,California-2,0.7335342216477617,0.2664657783522383,1
33,California-20,0.7318573792252848,0.2681426207747152,1
34,California-21,0.6140573688473959,0.3859426311526041,1
35,California-22,0.43856774473850507,0.561432255261495,0
36,California-23,0.3790637523492863,0.6209362476507136,0
37,California-24,0.5427966600566765,0.4572033399433235,1
38,California-25,0.5061508989477619,0.4938491010522381,1
39,California-26,0.5655884055368482,0.4344115944631518,1
40,California-27,0.7922204147063192,0.2077795852936808,1
41,California-28,0.7673370204138869,0.23266297958611315,1
42,California-29,0.8100769641643856,0.18992303583561443,1
43,California-3,0.597434509927149,0.40256549007285103,1
44,California-30,0.743126110629838,0.256873889370162,1
45,California-31,0.6023631878932285,0.3976368121067715,1
46,California-32,0.7446144673874779,0.25538553261252206,1
47,California-33,0.7038208161128882,0.29617918388711184,1
